1	0	14	7
2	193	47	6
3	755	11	6
4	904	7	7
5	1009	18	6
6	1249	3	2
7	1300	7	4
8	1402	21	7
9	1679	14	4
10	1858	7	4
11	1961	11	6
12	2111	7	4
13	2214	3	2
14	2266	7	7
15	2369	7	4
16	2472	7	7
17	2578	70	7
18	3429	66	6
19	4212	11	6
20	4362	11	6
21	4512	7	7
22	4618	14	7
23	4812	7	4
24	4915	14	4
25	5106	7	7
26	5209	7	4
27	5312	21	7
28	5562	28	7
29	5896	1	1
30	5922	42	7
31	6431	91	7
32	7525	7	7
33	7621	14	4
34	7808	49	7
35	8408	14	4
36	8588	7	7
37	8691	4	2
38	8755	11	6
39	8905	7	7
40	9011	35	7
41	9429	28	4
42	9777	7	4
43	9880	21	7
44	10151	7	7
45	10257	7	2
46	10354	21	7
47	10630	7	7
48	10726	21	4
49	10990	7	4
50	11093	14	4
51	11280	7	7
52	11386	2	1
53	11426	1	1
54	11452	14	4
55	11639	7	7
56	11745	420	7
57	16545	7	4
58	16648	7	7
59	16754	7	4
60	16857	42	7
61	17375	14	4
62	17562	21	7
63	17840	2	2
64	17880	7	7
65	17976	11	6
66	18126	7	4
67	18229	14	7
68	18423	7	4
69	18526	7	7
70	18632	11	6
71	18782	14	7
72	18976	70	7
73	19807	7	7
74	19903	7	4
75	20006	7	4
76	20109	8	4
77	20225	7	4
78	20328	9	2
79	20448	14	4
80	20642	7	4
81	20745	7	7
82	20851	7	4
83	20954	7	4
84	21057	273	7
85	24213	18	7
86	24447	7	4
87	24550	7	4
88	24653	7	4
89	24756	7	7
90	24862	3	2
91	24914	14	4
92	25108	7	7
93	25211	1	1
94	25237	14	7
95	25431	14	7
96	25623	3	2
97	25675	11	6
98	25825	2	2
99	25865	7	4
100	25968	56	7
101	26667	14	7
102	26862	7	4
103	26966	7	4
104	27070	10	2
105	27205	1	1
106	27232	3	2
107	27285	3	2
108	27338	2	2
109	27379	25	7
110	27699	14	7
111	27880	7	4
112	27984	7	4
113	28088	7	4
114	28192	7	7
115	28299	6	2
116	28388	2	2
117	28429	22	6
118	28701	7	4
119	28805	7	7
120	28909	7	4
121	29013	7	4
122	29117	7	7
123	29224	11	6
124	29375	21	7
125	29654	7	7
126	29761	25	7
127	30088	7	4
128	30192	49	4
129	30783	7	4
130	30887	7	7
131	30984	7	4
132	31088	4	2
133	31153	21	7
134	31432	7	4
135	31536	14	7
136	31731	7	7
137	31835	14	7
138	32030	7	4
139	32134	14	7
140	32329	3	2
141	32382	35	4
142	32815	7	7
143	32919	7	7
144	33026	14	7
145	33214	21	7
146	33493	7	7
147	33600	1	1
148	33627	4	2
149	33690	2	2
150	33731	2	2
151	33772	7	4
152	33876	14	7
153	34071	7	4
154	34175	35	7
155	34622	7	7
156	34719	7	7
157	34826	7	7
158	34923	14	7
159	35104	11	6
160	35255	7	4
161	35359	14	4
162	35554	84	7
163	36579	28	4
164	36942	49	7
165	37561	98	7
166	38734	1	1
167	38761	28	4
168	39124	7	7
169	39221	7	7
170	39318	20	4
171	39572	7	4
172	39676	7	4
173	39780	7	4
174	39884	35	7
175	40331	7	4
176	40435	21	7
177	40720	11	7
178	40874	2	2
179	40915	11	6
180	41066	14	4
181	41247	14	4
182	41428	14	4
183	41609	21	4
184	41892	1	1
185	41919	2	2
186	41960	7	4
187	42064	18	7
188	42307	7	7
189	42411	7	4
190	42515	44	6
191	43040	4	2
192	43105	7	4
193	43209	14	4
194	43390	11	6
195	43541	7	4
196	43645	7	4
197	43749	14	7
198	43944	14	4
199	44139	7	4
200	44243	7	4
201	44347	14	7
202	44542	14	7
203	44723	7	4
204	44827	14	7
205	45008	7	4
206	45112	21	7
207	45391	7	7
208	45495	7	7
209	45602	14	4
210	45783	21	7
211	46069	42	7
212	46586	11	6
213	46737	14	4
214	46918	7	4
215	47022	7	4
216	47126	3	2
217	47179	7	7
218	47283	28	7
219	47641	55	6
220	48276	14	4
221	48457	14	7
222	48638	7	4
223	48742	11	6
224	48893	15	4
225	49101	7	7
226	49208	14	7
227	49399	35	7
228	49839	7	7
229	49946	14	4
230	50134	14	4
231	50322	7	7
232	50429	7	4
233	50533	7	7
234	50630	5	2
235	50707	14	2
236	50884	7	7
237	50988	7	4
238	51092	14	4
239	51273	22	6
240	51545	7	7
241	51642	7	7
242	51746	7	4
243	51850	44	6
244	52375	7	4
245	52479	7	7
246	52576	7	7
247	52683	7	7
248	52790	43	7
249	53315	4	2
250	53380	14	7
251	53575	11	6
252	53726	7	4
253	53830	7	7
254	53937	14	7
255	54118	7	4
256	54222	1	1
257	54249	7	7
258	54356	7	4
259	54460	21	7
260	54744	35	7
261	55191	14	7
262	55372	3	2
263	55425	32	7
264	55829	7	4
265	55933	7	4
266	56037	7	4
267	56141	7	4
268	56245	21	4
269	56517	3	2
270	56570	14	4
271	56751	1	1
272	56778	25	7
273	57102	14	4
274	57283	14	7
275	57478	21	7
276	57757	7	4
277	57861	7	7
278	57968	7	4
279	58072	7	4
280	58176	7	4
281	58280	7	4
282	58384	7	7
283	58491	7	7
284	58598	7	7
285	58705	14	7
286	58896	18	6
287	59138	7	4
288	59242	7	7
289	59346	8	2
290	59459	14	7
291	59654	18	6
292	59896	14	4
293	60091	7	4
294	60195	14	7
295	60376	14	7
296	60572	11	6
297	60723	3	2
298	60776	3	1
299	60831	21	7
300	61112	25	6
301	61438	14	4
302	61619	7	7
303	61726	21	7
304	62005	106	6
305	63237	7	7
306	63344	7	4
307	63448	11	6
308	63599	7	7
309	63696	14	7
310	63877	7	4
311	63981	7	4
312	64085	11	6
313	64236	11	6
314	64387	7	7
315	64484	7	7
316	64588	14	7
317	64783	7	7
318	64887	7	7
319	64994	21	6
320	65270	3	2
321	65323	7	2
322	65422	11	6
323	65573	14	4
324	65768	7	4
325	65872	11	6
326	66023	14	4
327	66218	7	4
328	66322	42	7
329	66846	7	4
330	66950	35	7
331	67397	7	4
332	67501	7	4
333	67605	7	7
334	67712	28	7
335	68075	5	2
336	68152	7	7
337	68259	7	7
338	68356	18	6
339	68598	14	7
340	68796	7	7
341	68893	21	4
342	69158	11	6
343	69309	11	6
344	69460	7	7
345	69557	7	4
346	69661	7	4
347	69765	7	4
348	69869	7	4
349	69973	14	4
350	70165	11	6
351	70316	7	7
352	70423	14	7
353	70604	7	7
354	70711	7	4
355	70815	7	4
356	70919	21	4
357	71191	7	4
358	71295	7	7
359	71402	22	6
360	71674	14	4
361	71855	7	7
362	71952	7	7
363	72059	2	2
364	72100	7	4
365	72204	14	7
366	72385	21	4
367	72643	4	2
368	72708	4	2
369	72773	7	4
370	72877	2	2
371	72918	7	4
372	73022	7	7
373	73112	18	6
374	73354	7	4
375	73458	18	6
